Submitter	bases	rel_bases
The Chinese University of Hongkong	1.30960664466e+12	0.000108467281323
University of Geneva	1.3005829565e+12	0.000107719900477
UC Irvine	1.30003036865e+12	0.000107674132764
USDA	1.29829840584e+12	0.00010753068412
Yangzhou University	1.28991738946e+12	0.000106836532127
MD Anderson Cancer Center	1.28612461445e+12	0.000106522398112
ETH Zurich	1.28542128956e+12	0.000106464145705
Helmholtz Zentrum Munich	1.28526243556e+12	0.000106450988731
BAYLOR COLLEGE OF ME	1.27993728114e+12	0.000106009936431
Woods Hole Oceanographic Institution	1.27578252933e+12	0.000105665821933
University of California Davis	1.26742087873e+12	0.000104973273898
MPIPZ	1.26673549018e+12	0.000104916507056
Kunming Institute of Zoology Chinese Academy of Sc	1.26137655765e+12	0.000104472657108
Institute of Zoology	1.26038047302e+12	0.000104390157074
NICHD-phs000783	1.25753804095e+12	0.000104154734568
University Medical Center Utrecht	1.25476718441e+12	0.000103925240256
Seoul National University College of Medicine	1.25425594674e+12	0.000103882897342
University of South Carolina	1.25133873863e+12	0.000103641281561
Institute of Crop Science	1.25053752078e+12	0.000103574921237
Wroclaw University of Environmental and Life Scien	1.24838749422e+12	0.000103396846747
University of Helsinki	1.2459102918e+12	0.000103191674138
UCSD-phs000834	1.2452527807e+12	0.000103137216228
Johns Hopkins Center for Epigenetics	1.24278279463e+12	0.000102932641308
University of Kentucky	1.24062459367e+12	0.000102753889778
UT Southwestern Medical Center	1.2376450353e+12	0.000102507109879
NIAID	1.22631528944e+12	0.000101568731369
China Agricultural University, College of Agricult	1.22357072466e+12	0.000101341414655
Centre for Genomic Research, and NIHR HPRU in Emer	1.22328264023e+12	0.000101317554257
University of California, Santa Cruz	1.22006000323e+12	0.000101050641535
University of Illinois	1.21929785913e+12	0.000100987517468
UNC-phs000627	1.20592472104e+12	9.98798963834e-05
University of Lausanne	1.19729748385e+12	9.91653513197e-05
Genome Institrute of Singapore	1.19673581397e+12	9.91188313935e-05
UCSD-phs000767	1.19547802948e+12	9.90146562466e-05
University of Zurich	1.1912884503e+12	9.86676571949e-05
PacBio	1.18800184457e+12	9.83954463068e-05
HPGL-UMD	1.18679917905e+12	9.82958363512e-05
SIBS	1.18579986134e+12	9.82130685404e-05
UCSF	1.18006869842e+12	9.77383888628e-05
KYOTO_SC	1.17664469311e+12	9.74547979472e-05
Institut Bergonie	1.17472721306e+12	9.72959839638e-05
Peter MacCallum Cancer Centre	1.16846878032e+12	9.67776335203e-05
University of Maryland, College Park	1.16652849032e+12	9.66169303182e-05
TOHOKU	1.1647737747e+12	9.64715971879e-05
DUKE-NUS	1.16345200516e+12	9.63621225234e-05
UPENNBL	1.16279423539e+12	9.63076431887e-05
Pacific Biosciences	1.16073832939e+12	9.613736417e-05
UMCU	1.16029538086e+12	9.61006772585e-05
ISB	1.15626244531e+12	9.57666521093e-05
St Jude Children's Research Hospital	1.14872293278e+12	9.51421971025e-05
European Molecular Biology Laboratory	1.14858823971e+12	9.51310412398e-05
LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN	1.14110474089e+12	9.45112255306e-05
University of Connecticut	1.13804236497e+12	9.4257586324e-05
NHGRI/GTB	1.13557698627e+12	9.40533930062e-05
The Scripps Research Instiute	1.1318402841e+12	9.37439031859e-05
Fred Hutchinson Cancer Research Center-phs000410	1.1296627836e+12	9.35635531852e-05
Houston Methodist Research Institute	1.12952101471e+12	9.35518112728e-05
The University of Arizona	1.12549868982e+12	9.32186649449e-05
ZheJiang Academy Of Agricultural Sciences	1.1225249945e+12	9.29723706486e-05
Sichuan University	1.12202493215e+12	9.29309533241e-05
Memorial Sloan-Kettering Cancer Center-phs000612	1.12046213467e+12	9.28015156835e-05
University of Bern	1.11970737101e+12	9.27390028957e-05
The Chinese University of Hong Kong	1.11813685910e+12	9.26089263132e-05
pku	1.11583205258e+12	9.24180322777e-05
