date,bases,open_access_bases,bytes,open_access_bytes
"01/20/2012",244560326808776,182927990794105,246930516708110,206733893303604
"01/21/2012",244663347118377,183031011103706,246998272165777,206801648761271
"01/22/2012",244765395794993,183133059780322,247071765398508,206875141994002
"01/23/2012",245650905468772,184018569454101,247597938029509,207401314625003
"01/24/2012",245874656758131,184242320743460,247744518606388,207547895201882
"01/25/2012",246377586493085,184739661230478,248044425465021,207845111546627
"01/26/2012",246448560284800,184810635022193,248092991666413,207893677748019
"01/27/2012",247172044811601,185534119548994,248597569884697,208398255966303
"01/28/2012",247244730371277,185606805108670,248649137628874,208449823710480
"01/29/2012",247282244846323,185644319583716,248666738087854,208467424169460
"01/30/2012",247571987733437,185934062470830,248866376519532,208667062601138
"01/31/2012",248391694967061,186753769704454,249483290236319,209283976317925
"02/01/2012",249290074116746,187652148854139,250058450401098,209859136482704
"02/02/2012",249628717893696,187990792631089,250319031561918,210119717643524
"02/03/2012",250437081862223,188682125519016,250834639203059,210587157982806
"02/04/2012",250458768181668,188686675290365,250846533440630,210592159848433
"02/05/2012",251284200630816,189199875237645,251305580478543,210933784054859
"02/06/2012",251585504400719,189501179007548,251508434180038,211136637756354
"02/07/2012",252019419101908,189861940529993,251804531092686,211395610709709
"02/08/2012",253007864174225,190577845439342,252423715324600,211876712898351
"02/09/2012",253515398419898,191085379685015,252817147183415,212270144757166
"02/10/2012",254365919017614,191786329375731,253340693607432,212729124958812
"02/11/2012",254740119625658,192044079092675,253574066907425,212913841494317
"02/12/2012",254743375581463,192047335048480,253581965417957,212921740004849
"02/13/2012",254976065189856,192280024656873,253832766147639,213172540734531
"02/14/2012",255580347106068,192884306573085,254263728652545,213603503239437
"02/15/2012",256362542115594,193666501582611,254781818277418,214121592864310
"02/16/2012",256719683633716,194023643100733,255016904021309,214356678608201
"02/17/2012",256943925429115,194217728616124,255156140848135,214481728760585
"02/18/2012",256989039472315,194262842659324,255185034534117,214510622446567
"02/19/2012",258428124761535,194262957311385,255829312779631,214510890514045
"02/20/2012",259864119755481,194366720147675,256502744810831,214579967548118
"02/21/2012",260451102462510,194667454343120,256822097768156,214779682656525
"02/22/2012",260637090820429,194853442701039,256942981258993,214900566147362
"02/23/2012",260974130722859,195190482603469,257166615639279,215124200527648
"02/24/2012",261108079115987,195324430996597,257261080551589,215218665439958
"02/25/2012",261125230772947,195341582653557,257275623830741,215233208719110
"02/26/2012",261127207441267,195343559321877,257276607275889,215234192164258
"02/27/2012",261505919316821,195636068013055,257552961235962,215469880413019
"02/28/2012",264105357192908,196142281363654,258971084733198,215827589788801
"02/29/2012",266318910089804,197129294089326,260309687647428,216545404580931
"03/01/2012",267372354867237,197805190227151,260952119856659,216983458521245
"03/02/2012",268851388352026,198498543632052,261823194528373,217448852805750
"03/03/2012",269574258668340,199221413948366,262294942478578,217920600755955
"03/04/2012",272701526475435,200162906476797,263969964948910,218477447470405
"03/05/2012",274640680678834,200452805957260,264997374922842,218667439213576
"03/06/2012",275314689186672,200564360203682,265367562387129,218756933327849
"03/07/2012",276424059123242,200869347793556,265949531823593,218931739122596
"03/08/2012",276468031090657,200913319760971,265978791731396,218960999030399
"03/09/2012",277093755678356,201539044348670,266393234111483,219375441410486
"03/10/2012",277384911194236,201830199864550,266555271938617,219537479237620
"03/11/2012",278969780319416,201945696930254,267318824067555,219608690468404
"03/12/2012",285112953659706,202388811262865,270302765216594,219891796952037
"03/13/2012",286151679065365,202562280434920,270828107745909,220013574082758
"03/14/2012",286418531705958,202691040384495,270982011236765,220100925737213
"03/15/2012",286775468488086,203047977166623,271197242895269,220316157395717
"03/16/2012",287092246709509,203364755388046,271401143721584,220520058222032
"03/17/2012",287205850694709,203364755388046,271447581170795,220520058222032
"03/19/2012",287408877157701,203567781851038,271584447722399,220656924773636
"03/20/2012",289841764167021,204143222059522,272939817647461,221023480816593
"03/21/2012",291303993445210,204685328226407,273677212058561,221442328683711
"03/22/2012",291782635725745,205122677495038,274017772392063,221759336661039
"03/23/2012",293101629551470,206441671320763,274930186603226,222671750872202
"03/24/2012",299062361722929,206450790201356,278039171014402,222682302236531
"03/25/2012",299065538279888,206453966758315,278041526004694,222684657226823
"03/26/2012",299159315616465,206547744094892,278103585312048,222746716534177
"03/27/2012",300223021427938,206978370504531,278622594736638,223034878284722
"03/28/2012",301940090932382,207437825327475,279433258077424,223355268455749
"03/29/2012",302352550914514,207773845419175,279639836338886,223526934699964
"03/30/2012",302398070988314,207819365492975,279671248146677,223558346507755
"03/31/2012",302404089143670,207825383648331,279675440930823,223562539291901
"04/01/2012",302458837937397,207880132442058,279712790576812,223599888937890
"04/02/2012",303178550797965,208430072922826,280353084328011,224174969860130
"04/03/2012",308619171142742,209002297921670,283080835780298,224574939110053
"04/04/2012",317025129941744,209178192857156,286800563548807,224689662563177
"04/05/2012",324592217552943,209448314495615,290036169961566,224890657477622
"04/06/2012",327587876595065,209725475790041,291469097503288,225081289827954
"04/07/2012",327588755364737,209726354559713,291471202618726,225083394943392
"04/08/2012",327693602571153,209831201766129,291535365878120,225147558202786
"04/09/2012",338002815627317,210376507488871,296771519607879,225484604286704
